c_r_rc_100_100/c101.txt ,1.686874465,1.686874465,0,4.274279118,,Instancia,Soluci—n inicial 1era iteraci—n,Mejor Soluci—n Inicial,Mejor Encontrado ILS,GAP %,Tiempo (s)
c_r_rc_100_100/c101.txt ,1.653117264,1.660954467,0.474086319,5.908874035,,c_r_rc_100_100/c101.txt ,1.686874465,1.948867648,1.954338292,0.28070884,7.528733969
c_r_rc_100_100/c101.txt ,1.648160996,1.648160996,0,4.409809113,,c_r_rc_100_100/c102.txt ,1.934242035,1.983232652,1.983232652,0,4.490720987
c_r_rc_100_100/c101.txt ,1.675681206,1.683027753,0.438421546,5.769122124,,c_r_rc_100_100/c103.txt ,1.495809982,1.539520764,1.539520764,0,4.568053007
c_r_rc_100_100/c101.txt ,1.623222702,1.669173237,2.830821359,8.069533825,,c_r_rc_100_100/c104.txt ,1.346165321,1.353484812,1.353484812,0,4.565597057
c_r_rc_100_100/c101.txt ,1.61615119,1.61615119,0,4.143445015,,c_r_rc_100_100/c105.txt ,1.353265155,1.406690746,1.406690746,0,4.487133026
c_r_rc_100_100/c101.txt ,1.658669618,1.699603267,2.467860306,6.919525862,,c_r_rc_100_100/c106.txt ,1.464904435,1.537563615,1.537563615,0,4.235852957
c_r_rc_100_100/c101.txt ,1.652364623,1.664508287,0.73492637,8.191669941,,c_r_rc_100_100/c107.txt ,1.036584594,1.152896259,1.152896259,0,4.267966986
c_r_rc_100_100/c101.txt ,1.681770245,1.681770245,0,4.464600086,,c_r_rc_100_100/c108.txt ,1.035388724,1.086192809,1.086192809,0,4.412672043
c_r_rc_100_100/c101.txt ,1.660954467,1.690529826,1.780624307,5.992100954,,,,,,,
c_r_rc_100_100/c101.txt ,1.654093844,1.65545507,0.082294323,5.901365042,,,,,,,
c_r_rc_100_100/c101.txt ,1.682952643,1.682952643,0,4.60975194,,,,,,,
c_r_rc_100_100/c101.txt ,1.642212614,1.642212614,0,4.514655113,,,,,,,
c_r_rc_100_100/c101.txt ,1.678060682,1.692559796,0.864039869,9.463745832,,,,,,,
c_r_rc_100_100/c101.txt ,1.629066327,1.69220288,3.875628104,13.37739992,,,,,,,
c_r_rc_100_100/c101.txt ,1.929738962,1.941473849,0.608107509,9.766969919,,,,,,,
c_r_rc_100_100/c101.txt ,1.647764968,1.698136032,3.056932557,7.76652503,,,,,,,
c_r_rc_100_100/c101.txt ,1.629556983,1.691712224,3.814241687,7.228266954,,,,,,,
c_r_rc_100_100/c101.txt ,1.664245854,1.664245854,0,4.593736887,,,,,,,
c_r_rc_100_100/c101.txt ,1.677491706,1.678060682,0.033918276,6.181427002,,,,,,,
